0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/img/cards.png;jsessionid=7BB00A448CC1BC81777E1DBDC42C0E3B HTTP/1.1" 200 9203
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/js/jquery-ui.min.js;jsessionid=7BB00A448CC1BC81777E1DBDC42C0E3B HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/icon-fonts/Flaticon.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/icon-fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/img/bg.jpg;jsessionid=7BB00A448CC1BC81777E1DBDC42C0E3B HTTP/1.1" 200 125393
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/img/bg-2.jpg;jsessionid=7BB00A448CC1BC81777E1DBDC42C0E3B HTTP/1.1" 200 250378
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/img/blog-thumbs/2.jpg;jsessionid=7BB00A448CC1BC81777E1DBDC42C0E3B HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/img/blog-thumbs/1.jpg;jsessionid=7BB00A448CC1BC81777E1DBDC42C0E3B HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:42 +0700] "GET /shoponline/resources/home/img/banner-bg.jpg;jsessionid=7BB00A448CC1BC81777E1DBDC42C0E3B HTTP/1.1" 200 19414
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:43 +0700] "GET /shoponline/resources/home/img/favicon.ico;jsessionid=7BB00A448CC1BC81777E1DBDC42C0E3B HTTP/1.1" 200 16958
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/productDetail/3 HTTP/1.1" 200 16325
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2019:19:55:50 +0700] "GET /shoponline/resources/home/css/jquery-ui.min.css HTTP/1.1" 304 -
